Date,FoodServiceName,PickupTime,Location,Food,FoodQuantity,Type,PickupUntil,Description
3-Nov,KFC,Monday - Friday: 6:15 - 7:00 A.M.,"Bellevue Square, Bellevue- 98004",Chicken wings,5,Complete Dish,7:00 A.M.,Delicious Cheeseburgur
3-Nov,KFC,Sunday - Thursday 5:30 - 8:30 A.M.,"Bellevue Square, Bellevue- 98004",Chicken burgers,10,Complete Dish,8:30 P.M.,Turkey Breast Sandwich made tonight
2-Oct,Bay Laurel,Monday - Friday 7:00 - 9:30 A.M.,"Haggett Hall, Seattle- 98105",Apple pie,20,Complete Dish,9:30 P.M.,Turkey Breast Sandwich made this morning
2-Oct,Bay Laurel,"7-7:30 A.M., 7:45-8:15 A.M., 8:30-9 A.M","Haggett Hall, Seattle- 98105",Salad,15,Complete Dish,9:00 P.M.,Leftover from breakfast
2-Oct,Bay Laurel,Monday - Friday: 8:30 - 11:00 A.M,"Haggett Hall, Seattle- 98105",Beef sliders,45,Complete Dish,11:00 P.M.,Made this morning
2-Oct,Bay Laurel,7:20 - 7:50 A.M,"Haggett Hall, Seattle- 98105",Beef sliders,20,Complete Dish,8:00 A.M.,Delicious Cheeseburgur
23-Oct,Bay Laurel,8:00 A.M.,"Haggett Hall, Seattle- 98105",Chicken burgers,45,Complete Dish,8:00 A.M.,Turkey Breast Sandwich made tonight
23-Oct,Bay Laurel,8:00 A.M.,"Haggett Hall, Seattle- 98105",Red Pasta,30,Complete Dish,8:00 A.M.,Veggie burger
25-Oct,Bay Laurel,8:00 - 9:00 A.M.,"Haggett Hall, Seattle- 98105",Beef sliders,45,Complete Dish,9:00 A.M.,Made this morning
2-Jan,Bay Laurel,Monday - Friday: 8:30 - 9:30 A.M.; Saturdays: 10:00 A.M.,"Haggett Hall, Seattle- 98105",Chicken burgers,45,Complete Dish,11:00 P.M.,Delicious Cheeseburgur
2-Jan,Bay Laurel,Tuesday - Sunday: 9:00 - 11:00 A.M.,"Haggett Hall, Seattle- 98105",Red Pasta,36,Complete Dish,8:00 A.M.,Veggie burger
2-Jan,Bay Laurel,3rd Sunday: Hot Brunch 10:00  - 11:00 A.M.,"Haggett Hall, Seattle- 98105",Salad,30,Complete Dish,8:00 A.M.,Made this morning
2-Jan,Bay Laurel,"Mon, Tues, Thurs, & Fri: 10:00  - 11:00 A.M.","Haggett Hall, Seattle- 98105",Veggie burger,45,Complete Dish,8:00 A.M.,Delicious Cheeseburgur
15-Mar,Jimmy Johns,Last Sunday of Each Month / November - March: 8:00 - 10:00 AM,"701, 5th AVE #200",Turkey Breast Sandwich,38,Complete Dish,9:00 A.M.,Turkey Breast Sandwich made this morning
15-Mar,Jimmy Johns,Fridays: 10:30 A.M.,"701, 5th AVE #200",Tuna Salad,18,Complete Dish,7:00 A.M.,Leftover from breakfast
15-Mar,Jimmy Johns,Tuesday through Friday: 11:00 A.M.- 1:00 P.M.,"701, 5th AVE #200",Ham Sandwich,38,Complete Dish,8:30 P.M.,Made this morning
15-Mar,Jimmy Johns,2nd  and 4th Sunday: 11:00 A.M. to 12:30 P.M.,"701, 5th AVE #200",Hamburgers,25,Complete Dish,9:30 P.M.,Delicious Cheeseburgur
15-Mar,Jimmy Johns,Tuesdays: 11:00 A.M. - 1:00 P.M.,"701, 5th AVE #200",Turkey Breast Sandwich,26,Complete Dish,9:00 P.M.,Turkey Breast Sandwich made tonight
2-Jan,Jimmy Johns,Fridays: 11:00 A.M. - 1:00 P.M.,"701, 5th AVE #200",Veggie burger,34,Complete Dish,11:00 P.M.,Veggie burger
2-Jan,Jimmy Johns,"1st seating: 11:30 A.M. -12:00 P.M.,  2nd seating: 12:30-1:00 P.M.","701, 5th AVE #200",Turkey Breast Sandwich,38,Complete Dish,8:00 A.M.,Made this morning
2-Jan,Jack in the box,Monday - Friday: 11:30 A.M.. - 12:30 P.M.,"701, 5th AVE #200",Tuna Salad,18,Complete Dish,8:00 A.M.,Delicious Cheeseburgur
2-Jan,Jack in the box,Tuesday and Friday 11:30 A.M. - 12:30 P.M.,"701, 5th AVE #200",Ham Sandwich,38,Complete Dish,8:00 A.M.,Turkey Breast Sandwich made tonight
15-Mar,Jack in the box,Fridays: 11:30 A.M. - 12:30 P.M.,"701, 5th AVE #200",Hamburgers,25,Complete Dish,9:00 P.M.,Turkey Breast Sandwich made this morning
15-Mar,Jack in the box,Tuesdays: 11:30 A.M.,"701, 5th AVE #200",Turkey Breast Sandwich,26,Complete Dish,11:00 P.M.,Leftover from breakfast
15-Mar,Jack in the box,Wednesday & Friday: 11:30 A.M.,"701, 5th AVE #200",Veggie burger,34,Complete Dish,8:00 A.M.,Made this morning
23-Oct,Jack in the box,Tuesdays & Fridays: 11:30 A.M. - 1:00 P.M.,"Haggett Hall, Seattle- 98105",Chicken burgers,45,Complete Dish,8:00 A.M.,Delicious Cheeseburgur
